# US ZIP (ZCTA) -> county, largest-area match — US Census 2020 ZCTA-county relationship file, public domain.
# zip,county,state_fips
00601,Adjuntas Municipio,72
00602,Aguada Municipio,72
00603,Aguadilla Municipio,72
00606,Maricao Municipio,72
00610,Añasco Municipio,72
00611,Utuado Municipio,72
00612,Arecibo Municipio,72
00616,Arecibo Municipio,72
00617,Barceloneta Municipio,72
00622,Cabo Rojo Municipio,72
00623,Cabo Rojo Municipio,72
00624,Peñuelas Municipio,72
00627,Camuy Municipio,72
00631,Adjuntas Municipio,72
00636,San Germán Municipio,72
00637,Sabana Grande Municipio,72
00638,Ciales Municipio,72
00641,Utuado Municipio,72
00646,Dorado Municipio,72
00647,Guánica Municipio,72
00650,Florida Municipio,72
00652,Arecibo Municipio,72
00653,Guánica Municipio,72
00656,Guayanilla Municipio,72
00659,Hatillo Municipio,72
00660,Hormigueros Municipio,72
00662,Isabela Municipio,72
00664,Jayuya Municipio,72
00667,Lajas Municipio,72
00669,Lares Municipio,72
00670,Las Marías Municipio,72
00674,Manatí Municipio,72
00676,Moca Municipio,72
00677,Rincón Municipio,72
00678,Quebradillas Municipio,72
00680,Mayagüez Municipio,72
00682,Mayagüez Municipio,72
00683,San Germán Municipio,72
00685,San Sebastián Municipio,72
00687,Morovis Municipio,72
00688,Arecibo Municipio,72
00690,Aguadilla Municipio,72
00692,Vega Alta Municipio,72
00693,Vega Baja Municipio,72
00694,Vega Baja Municipio,72
00698,Yauco Municipio,72
00703,Aguas Buenas Municipio,72
00704,Salinas Municipio,72
00705,Aibonito Municipio,72
00707,Maunabo Municipio,72
00714,Arroyo Municipio,72
00715,Ponce Municipio,72
00716,Ponce Municipio,72
00717,Ponce Municipio,72
00718,Naguabo Municipio,72
00719,Naranjito Municipio,72
00720,Orocovis Municipio,72
00723,Patillas Municipio,72
00725,Caguas Municipio,72
00727,Caguas Municipio,72
00728,Ponce Municipio,72
00729,Canóvanas Municipio,72
00730,Ponce Municipio,72
00731,Ponce Municipio,72
00735,Ceiba Municipio,72
00736,Cayey Municipio,72
00738,Fajardo Municipio,72
00739,Cidra Municipio,72
00740,Fajardo Municipio,72
00741,Humacao Municipio,72
00745,Río Grande Municipio,72
00751,Salinas Municipio,72
00754,San Lorenzo Municipio,72
00757,Santa Isabel Municipio,72
00765,Vieques Municipio,72
00766,Villalba Municipio,72
00767,Yabucoa Municipio,72
00769,Coamo Municipio,72
00771,Las Piedras Municipio,72
00772,Loíza Municipio,72
00773,Luquillo Municipio,72
00775,Culebra Municipio,72
00777,Juncos Municipio,72
00778,Gurabo Municipio,72
00780,Ponce Municipio,72
00782,Comerío Municipio,72
00783,Corozal Municipio,72
00784,Guayama Municipio,72
00786,Aibonito Municipio,72
00791,Humacao Municipio,72
00794,Barranquitas Municipio,72
00795,Juana Díaz Municipio,72
00802,St. Thomas Island,78
00820,St. Croix Island,78
00830,St. John Island,78
00840,St. Croix Island,78
00850,St. Croix Island,78
00851,St. Croix Island,78
00901,San Juan Municipio,72
00906,San Juan Municipio,72
00907,San Juan Municipio,72
00909,San Juan Municipio,72
00911,San Juan Municipio,72
00912,San Juan Municipio,72
00913,San Juan Municipio,72
00915,San Juan Municipio,72
00917,San Juan Municipio,72
00918,San Juan Municipio,72
00920,San Juan Municipio,72
00921,San Juan Municipio,72
00923,San Juan Municipio,72
00924,San Juan Municipio,72
00925,San Juan Municipio,72
00926,San Juan Municipio,72
00927,San Juan Municipio,72
00934,Guaynabo Municipio,72
00949,Toa Baja Municipio,72
00950,Dorado Municipio,72
